ID,ステージ,タイトル,このページのゴール,状態,完了日,詰まった所メモ,リンク
0-0,World1の始まり,World1の始まり｜「自分にもできそう」を体験する,World1 の全体マップが頭に入って「これなら自分にもできそう」と感じられる状態,未着手,,,pages/0-0_world1の始まり.html
1-0,w1-1 道具の準備,w1-1 攻略｜まず何の道具が必要なのかを知ろう,World1 で使う道具は2つだけ。「これなら揃えられる」と納得できる状態,未着手,,,pages/1-0_w1-1攻略.html
1-1,w1-1 道具の準備,Claude Code をインストール｜まずは道具を手に入れる,Claude Code がインストール済み・ログイン済みで「こんにちは」が動く状態,未着手,,,pages/1-1_claude-codeをインストール.html
1-2,w1-1 道具の準備,Claude Code の役割｜「答える」じゃなく「手を動かす」AI,Claude Code がどんな AI なのかが腑に落ちて「すぐ触ってみたい」と思える状態,未着手,,,pages/1-2_claude-codeの役割.html
1-3,w1-1 道具の準備,スプレッドシートの役割｜Claude Code が書き込む場所,「Claude Code がここに書き込むんだな」という接続が見えて納品の感覚が掴めている状態,未着手,,,pages/1-3_スプレッドシートの役割.html
1-4,w1-1 道具の準備,作業フォルダの作り方｜「1案件 = 1フォルダ」を5分で,デスクトップに「テスト01／案件001」の2階層フォルダができている状態,未着手,,,pages/1-4_作業フォルダの作り方.html
1-5,w1-1 道具の準備,道具の役割を1枚で整理｜ステージクリアまであと一歩,2つの道具の役割を声に出して説明できる状態（w1-1 checkpoint）,未着手,,,pages/1-5_道具の役割を1枚で整理.html
2-0,w1-2 3ステップ習得,w1-2攻略｜3ステップで案件を回す,「3ステップさえ覚えればどんなリサーチ案件でも同じやり方で回せる」と腹落ちした状態,未着手,,,pages/2-0_w1-2攻略.html
2-1,w1-2 3ステップ習得,試す｜まず3件だけやってもらう,「自分の案件にも、このまま話しかければいいんだ」と自信を持てる状態,未着手,,,pages/2-1_試す.html
2-2,w1-2 3ステップ習得,直す｜「ここ違う」と具体的に伝える,「具体的に指摘するコツ」が分かって気軽に「直して」と言える状態,未着手,,,pages/2-2_直す.html
2-3,w1-2 3ステップ習得,本番｜全部頼んで納品まで,「これで1件、完走できた」という達成感と納品までの流れがクリアにイメージできる状態,未着手,,,pages/2-3_本番.html
2-4,w1-2 3ステップ習得,通し攻略｜模擬案件1件を3ステップでやり切る,模擬案件を3ステップで完走した達成感と「型が体に染み込んだ」確信（w1-2 checkpoint）,未着手,,,pages/2-4_通し攻略.html
2-5,w1-2 3ステップ習得（任意）,🎮 エキストラ｜コードに動かしてもらう,Claude Code にコードを書かせて実行する効率化を体感する,未着手,,,pages/2-5_エキストラ_コードで動かす.html
3-0,w1-3 案件を取りにいく,w1-3攻略｜案件を取りにいく,クラウドワークスの仕組み・相場・採用フローが腹落ちして応募ボタン手前の心の準備ができた状態,未着手,,,pages/3-0_w1-3攻略.html
3-1,w1-3 案件を取りにいく,クラウドワークスに登録｜応募準備を完成させる,アカウント作成→本人確認→プロフィール完成まで終わっていつでも応募ボタンを押せる状態,未着手,,,pages/3-1_クラウドワークスに登録.html
3-2,w1-3 案件を取りにいく,案件の選び方｜質を見抜いて地雷を避ける,案件文を見て自分のレベル感に合うかを即判断でき地雷案件を見抜いて避けられる状態,未着手,,,pages/3-2_案件の選び方.html
3-3,w1-3 案件を取りにいく,AIに応募文を書かせる｜テンプレ化で量を打つ,案件本文を差し替えるだけで使い回せるテンプレで1案件3分で提案文を仕上げる状態,未着手,,,pages/3-3_AIに応募文を書かせる.html
3-4,w1-3 案件を取りにいく,応募を量産する｜1日15〜20分のルーティンで回す,朝5分・夜10分で1日3〜5件の応募を無理なく出し続けられる状態,未着手,,,pages/3-4_応募を量産する.html
3-EX0,w1-3 案件を取りにいく（任意）,Claude in Chrome を入れる｜ブラウザ操作の準備,「Claude for Chrome」拡張をインストールしてClaudeがChromeを動かせる状態,未着手,,,pages/3-EX0_claude-in-chromeの導入.html
3-EX,w1-3 案件を取りにいく（任意）,🎮 エキストラ｜応募の完全自動化,案件選定〜応募フォーム入力までを半自動化して毎日のルーティンを5分以下に圧縮,未着手,,,pages/3-EX_応募の完全自動化.html
4-0,w1-4 実案件をやり切る,w1-4攻略｜実案件をやり切る,初案件を1件★5評価で納品してリピート発注までつなげた状態,未着手,,,pages/4-0_w1-4攻略.html
4-1,w1-4 実案件をやり切る,採用通知への即返信｜30分が信頼を作る,採用通知から30分以内にテンプレで返信して最初の信頼貯金を作る,未着手,,,pages/4-1_採用通知への即返信.html
4-2,w1-4 実案件をやり切る,不明点の質問の仕方｜まとめて1回で信頼アップ,不明点を怖がらず・1回でまとめて・優先度をつけて質問できる状態,未着手,,,pages/4-2_不明点の質問の仕方.html
4-3,w1-4 実案件をやり切る,納品の仕方｜★5を引き寄せる3要素,納品時に★5評価とリピート発注を引き寄せる3要素を盛り込んだ動きができる状態,未着手,,,pages/4-3_納品の仕方.html
4-4,w1-4 実案件をやり切る,リピート発注を引き出す動き｜「次もぜひ」を生む最後の一押し,1件目の納品で「次もぜひ」を引き出してリピートの好循環を起動できる状態,未着手,,,pages/4-4_リピート発注を引き出す動き.html
4-5,w1-4 実案件をやり切る,w1-4 通し攻略｜実案件を1件完走する,実案件を採用→★5納品→継続提案まで通しで完走した状態（w1-4 checkpoint）,未着手,,,pages/4-5_w1-4通し攻略.html
5-0,w1-5 月5万への道筋,w1-5攻略｜月5万への道筋,月5万円を実際に達成しWorld2への扉が開く状態,未着手,,,pages/5-0_w1-5攻略.html
5-1,w1-5 月5万への道筋,月5万を分解する｜数字で逆算すれば道筋は見える,月5万円を件数×単価に分解して「あと何件・何円足りない」が即答できる状態,未着手,,,pages/5-1_月5万を分解する.html
5-2,w1-5 月5万への道筋,リピート案件を育てる｜1人のクライアントから「主力顧客」へ,1人のクライアントから3〜5件の継続発注を引き出して主力顧客に育てる,未着手,,,pages/5-2_リピート案件を育てる.html
5-3,w1-5 月5万への道筋,案件カテゴリを広げる｜新天地で単価UPと案件供給を増やす,楽天以外の新カテゴリに進出して案件供給と単価帯を広げた状態,未着手,,,pages/5-3_案件カテゴリを広げる.html
5-4,w1-5 月5万への道筋,振り返りと改善｜PDCAで採用率と単価を上げる,週次・月次の振り返りで採用率・単価・件数を計測し改善する仕組みが回っている状態,未着手,,,pages/5-4_振り返りと改善.html
5-5,w1-5 月5万への道筋,World1 卒業｜World2 への扉が開く,月5万円を達成してWorld1を卒業し次のステージへの扉が開く（World1 最終 checkpoint）,未着手,,,pages/5-5_world1卒業.html
